name,code,phase,section,subsection,unit,price
Крепление кабеля к бетону без гофры,2–648,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,65.00
Маркировка кабеля,2–649,Этап №2,Электромонтаж: Маркировка и измерения,Электрические сети,шт,35.00
Маркировка кабеля бирками на конечных участках линий,2–650,Этап №2,Электромонтаж: Маркировка и измерения,Электрические сети,шт,35.00
Маркировка розеток RG-45,2–651,Этап №2,Электромонтаж: Маркировка и измерения,Электрические сети,шт,10.00
Маркировка щита,2–652,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,875.00
Монтаж автомата 10А в бокс,2–653,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,250.00
Монтаж автомата 16А в бокс,2–654,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,250.00
Монтаж автомата 25А в бокс,2–655,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,400.00
Монтаж автомата 32А в бокс,2–656,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,400.00
Монтаж автомата 40А в бокс,2–657,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,400.00
Монтаж автоматических выключателей 1-полюсных,2–658,Этап №2,Электромонтаж: Монтаж оборудования,Электрические сети,шт,135.00
"Монтаж автоматического выключателя 150А в ВРУ-0,4 кВ",2–659,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,2190.00
"Монтаж автоматического выключателя 200А в ВРУ-0,4 кВ",2–660,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,3440.00
"Монтаж автоматического выключателя 250А в ВРУ-0,4 кВ",2–661,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,3440.00
Монтаж автоматического выключателя 63А в существующий щит,2–662,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,6250.00
Монтаж автоматического выключателя в щит силовой,2–663,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,150.00
Монтаж автоматов в щит,2–664,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,400.00
Монтаж бокса под автоматический выключатель,2–665,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,315.00
Монтаж бокса под автоматы на 13 модулей,2–666,Этап №2,Электромонтаж: Монтаж автоматики,Электрические сети,шт,350.00
Монтаж бокса под автоматы на 26 модулей,2–667,Этап №2,Электромонтаж: Монтаж автоматики,Электрические сети,шт,500.00
"Монтаж вертикального заземлителя из стали угловой, 50х50х5 мм, длина 3 м",2–668,Этап №2,Электромонтаж: Заземление,Электрические сети,шт,690.00
Монтаж главной заземляющей шины,2–669,Этап №2,Электромонтаж: Заземление,Электрические сети,шт,2000.00
Монтаж гофры 20 мм,2–670,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,25.00
Монтаж гофры 25 мм,2–671,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,25.00
Монтаж заземления в электрощитовой,2–672,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,м.п.,500.00
"Монтаж заземлителя горизонтального в траншее из стали полосой, сечение 160 мм2",2–673,Этап №2,Электромонтаж: Заземление,Электрические сети,м.п.,110.00
Монтаж заземляющего провода 1х25мм2,2–674,Этап №2,Электромонтаж: Заземление,Электрические сети,м.п.,140.00
Монтаж заземляющего провода 1х4мм2,2–675,Этап №2,Электромонтаж: Заземление,Электрические сети,м.п.,115.00
Монтаж и подключение автомата 6-32А однофазного,2–676,Этап №2,Электромонтаж: Монтаж автоматики,Электрические сети,шт,250.00
Монтаж и подключение автомата 6-32А трёхфазного,2–677,Этап №2,Электромонтаж: Монтаж автоматики,Электрические сети,шт,400.00
"Монтаж и подключение автоматических выключателей 80А в ВРУ-0,4 кВ (панели 5 и 7)",2–678,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,725.00
Монтаж и подключение коробки КУП,2–679,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,шт,440.00
Монтаж и подключение сборки АВР (ЩАП-23),2–680,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1565.00
Монтаж и подключение силового щита,2–681,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,5625.00
Монтаж и подключение шкафа навесного ЩВ1,2–682,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1565.00
Монтаж и подключение шкафа распределительного накладного,2–683,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1875.00
Монтаж и подключение ЩАО,2–684,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1565.00
Монтаж и подключение щита освещения,2–685,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,2190.00
Монтаж и подключение щита распределительного накладного,2–686,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1875.00
Монтаж и подключение щита силового навесного со счетчиком учета электроэнергии,2–687,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,5625.00
Монтаж и подключение щита силового распределительного навесного,2–688,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,3125.00
Монтаж и подключение щита учета,2–689,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,3940.00
Монтаж и подключение щитов учета на подготовленную металлоконструкцию,2–690,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,2875.00
Монтаж и подключение ЩО,2–691,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1565.00
Монтаж и подключение ЩС,2–692,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,1565.00
Монтаж и подключение ящика с понижающим трансформатором,2–693,Этап №2,Электромонтаж: Монтаж оборудования,Электрические сети,шт,940.00
Монтаж и подключения щита освещения навесного,2–694,Этап №2,Электромонтаж: Монтаж и сборка щитов,Электрические сети,шт,2190.00
Монтаж и расключение коммутационного шкафа,2–695,Этап №2,Электромонтаж: Коммутация и расключение,Электрические сети,шт,1500.00
Монтаж и расключение распределительной коробки,2–696,Этап №2,Электромонтаж: Монтаж коробок,Электрические сети,шт,290.00
Монтаж кабелей в гофрированной трубе в готовую штробу,2–697,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,100.00
Монтаж кабеленесущих конструкций,2–698,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,500.00
"Монтаж Кабель межблочный ВВГнГ 5х1,5",2–699,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж Кабель МКЭШ 2х0.75,2–700,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж Кабель силовой ВВГнГ LS 3х2,5",2–701,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
Монтаж кабель-канала,2–702,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,90.00
Монтаж кабель-канала 100х60 мм,2–703,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,165.00
Монтаж кабель-канала 16x10 мм,2–704,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
Монтаж кабель-канала 25х25 мм,2–705,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабель-канала 25х30 мм,2–706,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабель-канала 25x16 мм,2–707,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,90.00
Монтаж кабель-канала 60х40 мм,2–708,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,140.00
Монтаж кабель-канала DLP 50х105 мм (с крышкой 65 мм),2–709,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,165.00
Монтаж кабельного короба ТМС 40/2х17,2–710,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,115.00
Монтаж кабельного лотка,2–711,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,шт,235.00
Монтаж кабеля,2–712,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
"Монтаж Кабеля 1*0,75",2–713,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля 2-х жильного сечением 1,5 мм2 в кабель-канале",2–714,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
"Монтаж кабеля 3-х жильного сечением 1,5 мм2 в кабель-канале",2–715,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля 3-х жильного сечением 1,5 мм2 в коробе",2–716,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
"Монтаж кабеля 3-х жильного сечением 1,5 мм2 в трубе гофрированной",2–717,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,50.00
"Монтаж кабеля 3-х жильного сечением 1,5 мм2 в трубе d20",2–718,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля 3-х жильного сечением 1,5 мм2 открытым способом",2–719,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 в готовой штробе",2–720,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 в кабель-канале",2–721,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 в коробах",2–722,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 в трубе d20",2–723,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,60.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 внутри перегородок",2–724,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж кабеля 3-х жильного сечением 2,5 мм2 открытым способом",2–725,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
Монтаж кабеля 3-х жильного сечением 4 мм2 в кабель-канале,2–726,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,75.00
"Монтаж кабеля 3*1,5 за потолочным пространством",2–727,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля 3*1,5 на высоте до 2м",2–728,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля 3х1,5",2–729,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля 3х1,5 за потолочным пространством, в стесненных условиях, на высоте от 2 до 8 м",2–730,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля 3х1.5 без гофры,2–731,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
Монтаж кабеля 3х1.5 в стесненных условиях,2–732,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля 3х1.5 на высоте от 2 до 8 м,2–733,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля 3х2,5",2–734,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
"Монтаж кабеля 3х2,5 на высоте до 2м",2–735,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
Монтаж кабеля 3х2.5 без гофры,2–736,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
Монтаж кабеля 3х2.5 в стесненных условиях,2–737,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля 3х2.5 на высоте от 2 до 8 м,2–738,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
Монтаж кабеля 3х4 без гофры,2–739,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
Монтаж кабеля 3х6 без гофры,2–740,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля 4-х жильного сечением 1,5 мм2 в кабель-канале",2–741,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
"Монтаж кабеля 4-х жильного сечением 2,5 мм2 в кабель-канале",2–742,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабеля 4х1.5 без гофры,2–743,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,30.00
Монтаж кабеля 4х2.5 без гофры,2–744,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,30.00
"Монтаж кабеля 5-ти жильного сечением 2,5 мм2 в кабель-канале",2–745,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,75.00
"Монтаж кабеля 5-ти жильного сечением 2,5 мм2 в трубе d25",2–746,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,110.00
Монтаж кабеля 5-ти жильного сечением 25 мм2 открытым способом,2–747,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,265.00
Монтаж кабеля 5-ти жильного сечением 4 мм2 в коробах,2–748,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабеля 5-ти жильного сечением 4 мм2 в трубе d25,2–749,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля 5-ти жильного сечением 50 мм2 открытым способом,2–750,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,240.00
Монтаж кабеля 5-ти жильного сечением 6 - 10 мм2 в трубе,2–751,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,215.00
Монтаж кабеля 5-ти жильного сечением 6 мм2 в коробах,2–752,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,140.00
Монтаж кабеля 5-ти жильного сечением 6 мм2 в лотке,2–753,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля 5-ти жильного сечением 6 мм2 в трубе d25,2–754,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
"Монтаж кабеля 5х1,5 без гофры",2–755,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля 5х10 без гофры,2–756,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля 5х120 без гофры,2–757,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,200.00
Монтаж кабеля 5х16 без гофры,2–758,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,75.00
Монтаж кабеля 5х2.5 без гофры,2–759,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,75.00
Монтаж кабеля 5х25 без гофры,2–760,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
Монтаж кабеля 5х35 в стесненных условиях,2–761,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,190.00
Монтаж кабеля 5х35 за потолочным пространством,2–762,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,190.00
Монтаж кабеля 5х35 на высоте до 2м,2–763,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,125.00
Монтаж кабеля 5х35 на высоте от 2 до 8м,2–764,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,145.00
Монтаж кабеля 5х4 без гофры,2–765,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля 5х4 в стесненных условиях,2–766,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,85.00
Монтаж кабеля 5х4 на высоте до 2 м,2–767,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля 5х4 на высоте от 2 до 8 м,2–768,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля 5х50 без гофры,2–769,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,125.00
Монтаж кабеля 5х6 без гофры,2–770,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля 5х70 без гофры,2–771,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,145.00
Монтаж кабеля 5х95 без гофры,2–772,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,160.00
Монтаж кабеля акустического в гофре,2–773,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
"Монтаж кабеля без гофры (лоток, кабель-канал и т.п.)",2–774,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,35.00
"Монтаж кабеля без гофры (лоток, кабель-канал и т.п.)",2–775,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,25.00
"Монтаж кабеля без гофры (лоток, кабель-канал и т.п.)",2–776,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,25.00
Монтаж кабеля в гофре,2–777,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
Монтаж кабеля в гофре в готовую штробу,2–778,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
Монтаж кабеля в гофрированной трубе в готовую штробу,2–779,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,50.00
Монтаж кабеля в гофрированной трубе с креплением клипсами,2–780,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,65.00
Монтаж кабеля в гофру,2–781,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в гофру ? 16мм,2–782,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в гофру ? 20мм,2–783,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в гофру ? 25мм,2–784,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в гофру 32 мм,2–785,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в лотке,2–786,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,140.00
Монтаж кабеля в металлорукаве д25,2–787,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,30.00
Монтаж кабеля в металлорукаве д32,2–788,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,30.00
Монтаж кабеля в ПВХ гофре д20,2–789,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в ПВХ гофре д32,2–790,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,25.00
Монтаж кабеля в трубе гофрированной на клипсах,2–791,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,165.00
Монтаж кабеля в трубу гофрированную ? 25мм,2–792,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,25.00
Монтаж кабеля ВВГнг-FRLS 2х2.5 мм2,2–793,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
Монтаж кабеля ВВГнг-FRLS 3х1.5 мм2,2–794,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабеля ВВГнг-FRLS 3х2.5 мм2,2–795,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабеля ВВГнг-FRLS 4х4 мм2,2–796,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля ВВГнг-FRLS 5х4 мм2,2–797,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля ВВГнг-FRLS 5х6 мм2,2–798,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,175.00
"Монтаж кабеля ВВГнг-FRLSLTx 3х1,5",2–799,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,0.00
"Монтаж кабеля ВВГнг-FRLSLTx 3х1,5",2–800,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,0.00
Монтаж кабеля ВВГнг-LS 1х25 мм2,2–801,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,200.00
Монтаж кабеля ВВГнг-LS 1х50 мм2,2–802,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,250.00
"Монтаж кабеля ВВГнг-LS 2х1,5 в гофрированной трубе в готовую штробу",2–803,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
"Монтаж кабеля ВВГнг-LS 3х1,5 мм2",2–804,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
"Монтаж кабеля ВВГнг-LS 3х2,5 мм2",2–805,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
"Монтаж кабеля ВВГнг-LS 4х2,5 мм2",2–806,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,125.00
Монтаж кабеля ВВГнг-LS 5х10 мм2,2–807,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,175.00
Монтаж кабеля ВВГнг-LS 5х16 мм2,2–808,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,200.00
"Монтаж кабеля ВВГнг-LS 5х2,5 мм2",2–809,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,140.00
Монтаж кабеля ВВГнг-LS 5х4 мм2,2–810,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля ВВГнг-LS 5х50 по существующим конструкциям,2–811,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,940.00
Монтаж кабеля ВВГнг-LS 5х50 по существующим конструкциям и кабельной шахте,2–812,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,940.00
Монтаж кабеля ВВГнг-LS 5х70 по существующим конструкциям и кабельной шахте,2–813,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,1125.00
Монтаж кабеля ВВГнг(А) 1х10 мм2,2–814,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля ВВГнг(А) 1х16 мм2,2–815,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,150.00
Монтаж кабеля ВВГнг(А) 1х6 мм2,2–816,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,115.00
Монтаж кабеля ВВГнг(А) FRLS 3x1.5,2–817,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
Монтаж кабеля ВВГнг(А) FRLS 4х4,2–818,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
"Монтаж кабеля ВВГнг(А) FRLS 4х4 в стесненных условиях (К : 108,5*1,5=162,75)",2–819,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,85.00
Монтаж кабеля ВВГнг(А) FRLS 4х4 на высоте до 2м,2–820,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
"Монтаж кабеля ВВГнг(А) FRLS 4х4 от 2 до 8м (К : 108,5*1,15=124,78)",2–821,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж кабеля ВВГнг(А) LS 5х2,5 в стесненных условиях",2–822,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,85.00
"Монтаж кабеля ВВГнг(А) LS 5х2,5 на высоте до 2 м",2–823,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
"Монтаж кабеля ВВГнг(А) LS 5х2,5 от 2 до 8 м",2–824,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
Монтаж кабеля ВВГнг(А)-FRLS 5х4 (м),2–825,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля ВВГнг(А)-FRLS 5х4 (м) на высоте до 2м,2–826,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
Монтаж кабеля ВВГнг(А)-FRLS 5х4 (м) на высоте от 2 до 8м,2–827,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,65.00
"Монтаж кабеля до 3-х жил, сечением до 10 мм2",2–828,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,50.00
"Монтаж кабеля до 3-х жил, сечением до 2,5 мм2",2–829,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля до 3-х жил, сечением до 6 мм2",2–830,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,40.00
"Монтаж кабеля до 5-ти жил, сечением до 10 мм2",2–831,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,125.00
"Монтаж кабеля до 5-ти жил, сечением до 10 мм2",2–832,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,55.00
"Монтаж кабеля до 5-ти жил, сечением до 120 мм2",2–833,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,440.00
"Монтаж кабеля до 5-ти жил, сечением до 150 мм2",2–834,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,690.00
"Монтаж кабеля до 5-ти жил, сечением до 16 мм2",2–835,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,145.00
"Монтаж кабеля до 5-ти жил, сечением до 16 мм2",2–836,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,75.00
"Монтаж кабеля до 5-ти жил, сечением до 185 мм2",2–837,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,815.00
"Монтаж кабеля до 5-ти жил, сечением до 240 мм2",2–838,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,940.00
"Монтаж кабеля до 5-ти жил, сечением до 35 мм2",2–839,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,185.00
"Монтаж кабеля до 5-ти жил, сечением до 35 мм2",2–840,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
"Монтаж кабеля до 5-ти жил, сечением до 4 мм2",2–841,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,95.00
"Монтаж кабеля до 5-ти жил, сечением до 4 мм2",2–842,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,45.00
"Монтаж кабеля до 5-ти жил, сечением до 50 мм2",2–843,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,265.00
"Монтаж кабеля до 5-ти жил, сечением до 95 мм2",2–844,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,390.00
"Монтаж кабеля заземления ПВ3 4,0 мм2",2–845,Этап №2,Электромонтаж: Трассировка кабеля,Электрические сети,м.п.,100.00
Монтаж кабеля или провода в гофротрубе по потолку,2–846,Этап №2,Электромонтаж: Монтаж кабельных систем,Электрические сети,м.п.,115.00
