Код;Наименование;Ед изм;Базовая цена;Фаза;Раздел;Подраздел
1–75;Грунтовка неровных откосов;м.п.;65.00;Этап №1;Проемы: Штукатурка;Проемы
1–76;Грунтовка откосов;м.п.;40.00;Этап №1;Проемы: Штукатурка;Проемы
1–77;Грунтовка откосов за 1 раз;м.п.;40.00;Этап №1;Проемы: Штукатурка;Проемы
1–78;Грунтовка откосов после каждого слоя шпатлевки;м.п.;75.00;Этап №1;Проемы: Штукатурка;Проемы
1–79;Грунтовка откосов, углов;м.п.;40.00;Этап №1;Проемы: Штукатурка;Проемы
1–80;Грунтовка/бетонконтакт откоса;м.п.;40.00;Этап №1;Проемы: Штукатурка;Проемы
1–83;Монтаж ПВХ профиля с армирующей сеткой на профиль окна;м.п.;90.00;Этап №1;Проемы: Штукатурка;Проемы
1–86;Огрунтовка поверхности откосов;м.п.;40.00;Этап №1;Проемы: Штукатурка;Проемы
1–87;Огрунтовка поверхности откосов и декоративных элементов, подготовка поверхности;м.п.;50.00;Этап №1;Проемы: Штукатурка;Проемы
1–181;Армирование внешних углов;м.п.;320.00;Этап №1;Стены: штукатурка;Стены
1–182;Армирование кладки;м2;115.00;Этап №1;Стены: штукатурка;Стены
1–183;Армирование металлической сетки под штукатурку;м2;165.00;Этап №1;Стены: штукатурка;Стены
1–184;Армирование стен;м2;165.00;Этап №1;Стены: штукатурка;Стены
1–185;Армирование стен штукатурной сеткой;м2;165.00;Этап №1;Стены: штукатурка;Стены
1–186;Второй слой штукатурки;м2;365.00;Этап №1;Стены: штукатурка;Стены
1–187;Выравнивание стен по маякам гипсовой штукатурной смесью;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–188;Выравнивание стен по маякам цементной штукатурной смесью;м2;440.00;Этап №1;Стены: штукатурка;Стены
1–189;Грунтование стен;м2;50.00;Этап №1;Стены: штукатурка;Стены
1–190;Затирка штукатурки;м2;50.00;Этап №1;Стены: штукатурка;Стены
1–191;Монтаж маяков штукатурных;м2;115.00;Этап №1;Стены: штукатурка;Стены
1–192;Монтаж перфорированного уголка;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–193;Монтаж перфорированных уголков;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–194;Монтаж профиля углового ПВХ с армирующей сеткой;м.п.;115.00;Этап №1;Стены: штукатурка;Стены
1–195;Монтаж углового профиля;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–196;Монтаж штукатурной сетки;м2;110.00;Этап №1;Стены: штукатурка;Стены
1–197;Монтаж штукатурной сетки по пеноплексу;м2;90.00;Этап №1;Стены: штукатурка;Стены
1–198;Монтаж штукатурной сетки по пеноплексу на клей;м2;225.00;Этап №1;Стены: штукатурка;Стены
1–199;Монтаж штукатурных маяков;м2;115.00;Этап №1;Стены: штукатурка;Стены
1–200;монтаж штукатурных углов;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–201;Монтаж штукатурных уголков;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–202;Набивка сетки на стену штукатурной металлической оцинкованной;м2;110.00;Этап №1;Стены: штукатурка;Стены
1–203;Нанесение бетоноконтакта на стены;м2;50.00;Этап №1;Стены: штукатурка;Стены
1–204;Обработка стен бетонконтактом;м2;50.00;Этап №1;Стены: штукатурка;Стены
1–205;Обработка стен бетонконтактом (кистью);м2;75.00;Этап №1;Стены: штукатурка;Стены
1–206;Опрыскивание Ж/Б стен водой перед цементной штукатуркой;м2;40.00;Этап №1;Стены: штукатурка;Стены
1–207;Отделка угла ниши штукатуркой под 90 градусов (внутренний+наружный);м.п.;375.00;Этап №1;Стены: штукатурка;Стены
1–208;Очистка, грунтовка, штукатурка по мякам до 30мм с последущей выемкой маяков, и заделкой мест выемки;м2;750.00;Этап №1;Стены: штукатурка;Стены
1–209;Оштукатуривание и армирование внешних углов штукатурными составами;м.п.;250.00;Этап №1;Стены: штукатурка;Стены
1–210;Оштукатуривание криволинейных откосов толщиной слоя 30 мм;м.п.;625.00;Этап №1;Стены: штукатурка;Стены
1–211;Оштукатуривание наружных углов/откосов;м.п.;250.00;Этап №1;Стены: штукатурка;Стены
1–212;Оштукатуривание нижней криволинейной поверхности лестницы;м2;750.00;Этап №1;Стены: штукатурка;Стены
1–213;Оштукатуривание откосов штукатурными составами, толщина слоя до 30 мм;м.п.;275.00;Этап №1;Стены: штукатурка;Стены
1–214;Оштукатуривание откосов/проемов (до 300мм шириной);м.п.;305.00;Этап №1;Стены: штукатурка;Стены
1–215;Оштукатуривание по правилу, толщина слоя до 10 мм;м2;250.00;Этап №1;Стены: штукатурка;Стены
1–216;Оштукатуривание поверхности стен гипсовыми составами средней толщиной слоя до 20 мм;м2;190.00;Этап №1;Стены: штукатурка;Стены
1–217;Оштукатуривание поверхности стен цементными составами средней толщиной слоя 45 мм;м2;435.00;Этап №1;Стены: штукатурка;Стены
1–218;Оштукатуривание поверхности стен цементными составами средней толщиной слоя до 20 мм с последующим демонтажом профилей;м2;220.00;Этап №1;Стены: штукатурка;Стены
1–219;Оштукатуривание стен;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–220;Оштукатуривание стен (с выставлением маяков) до 3 см;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–221;Оштукатуривание стен в ванной комнате по маякам;м2;525.00;Этап №1;Стены: штукатурка;Стены
1–222;Оштукатуривание стен в комнатах, коридоре, в прихожей по маякам;м2;525.00;Этап №1;Стены: штукатурка;Стены
1–223;Оштукатуривание стен гипсовой штукатуркой;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–224;Оштукатуривание стен до 3 см;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–225;Оштукатуривание стен до 3 см (высота более 3м);м2;525.00;Этап №1;Стены: штукатурка;Стены
1–226;Оштукатуривание стен до 3 см гипсовой смесью сиспользованием сетки (капрон) и армированием некоторых участков;м2;450.00;Этап №1;Стены: штукатурка;Стены
1–227;Оштукатуривание стен до 3 см с выставлением маяков;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–228;Оштукатуривание стен по маякам;м2;525.00;Этап №1;Стены: штукатурка;Стены
1–229;Оштукатуривание стен по маякам гипсовой штукатуркой;м2;525.00;Этап №1;Стены: штукатурка;Стены
1–230;Оштукатуривание стен по маякам гипсовой штукатуркой толщиной слоя до 24 мм;м2;345.00;Этап №1;Стены: штукатурка;Стены
1–231;Оштукатуривание стен по маякам цементной штукатуркой толщиной слоя до 24 мм;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–232;Оштукатуривание стен по маякам, толщина слоя 10-20 мм;м2;350.00;Этап №1;Стены: штукатурка;Стены
1–233;Оштукатуривание стен по маякам, толщина слоя 10-20 мм (гипс);м2;315.00;Этап №1;Стены: штукатурка;Стены
1–234;Оштукатуривание стен по маякам, толщина слоя 10-20 мм (цемент);м2;350.00;Этап №1;Стены: штукатурка;Стены
1–235;Оштукатуривание стен по маякам, штукатурными составами, толщина слоя 10-20 мм (гипс);м2;250.00;Этап №1;Стены: штукатурка;Стены
1–236;Оштукатуривание стен по маякам, штукатурными составами, толщина слоя 10-20 мм (цемент);м2;275.00;Этап №1;Стены: штукатурка;Стены
1–237;Оштукатуривание стен по правилу;м2;265.00;Этап №1;Стены: штукатурка;Стены
1–238;Оштукатуривание стен с последующим извлечением маяков;м2;475.00;Этап №1;Стены: штукатурка;Стены
1–239;Оштукатуривание стен фасадной штукатуркой;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–240;Перетирка штукатурки внутренних помещений;м2;250.00;Этап №1;Стены: штукатурка;Стены
1–241;Подготовка поверхности к штукатурно-малярным работам (удаление неровностей потеков);м2;15.00;Этап №1;Стены: штукатурка;Стены
1–242;Покрытие поверхности стен укрывным грунтом с обратной прокаткой валиком;м2;165.00;Этап №1;Стены: штукатурка;Стены
1–243;Проклейка штукатурной сетки, установка маяков;м2;100.00;Этап №1;Стены: штукатурка;Стены
1–244;Ремонт и выравнивание существующей штукатурки;м2;515.00;Этап №1;Стены: штукатурка;Стены
1–245;Ремонт и частичная замена штукатурки;м2;815.00;Этап №1;Стены: штукатурка;Стены
1–246;Сплошная штукатурка стен под сетку;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–247;Сплошное выравнивание бетонных поверхностей (однослойная штукатурка) цементно-известковым раствором стен;м2;250.00;Этап №1;Стены: штукатурка;Стены
1–248;Сплошное выравнивание поверхностей стен гипсополимерным составом;м2;420.00;Этап №1;Стены: штукатурка;Стены
1–249;Сплошное выравнивание поверхностей стен полимерным составом;м2;325.00;Этап №1;Стены: штукатурка;Стены
1–250;Сплошное выравнивание поверхностей стен полимерным составом / базовый слой;м2;325.00;Этап №1;Стены: штукатурка;Стены
1–251;Устройство бетонконтакта;м2;50.00;Этап №1;Стены: штукатурка;Стены
1–252;Устройство перфорированых уголков на углы стен и откосы.;м.п.;85.00;Этап №1;Стены: штукатурка;Стены
1–253;Устройство стартового и углового профиля ПВХ с сеткой;м.п.;250.00;Этап №1;Стены: штукатурка;Стены
1–254;Устройство штукатурной армировочной сетки 5х5 на стену;м2;165.00;Этап №1;Стены: штукатурка;Стены
1–255;Устройствоштукатурной армировочной сетки 5х5 на стену;м2;110.00;Этап №1;Стены: штукатурка;Стены
1–256;Устройствоштукатурной армировочной сетки 5х5 на стену, откосы;м2;150.00;Этап №1;Стены: штукатурка;Стены
1–257;Цементная штукатурка стен по маякам во влажных помещениях до 20 мм.;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–258;Частичное выравнивание поверхностей стен гипсополимерным составом;м2;420.00;Этап №1;Стены: штукатурка;Стены
1–259;Штукатурка;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–260;Штукатурка гипсовая;м2;250.00;Этап №1;Стены: штукатурка;Стены
1–261;Штукатурка поверхностей внутри здания цементно-известковым или цементным раствором по камню и бетону простая;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–262;Штукатурка поверхности стен внутри здания гипсовым раствором улучшенная;м2;740.00;Этап №1;Стены: штукатурка;Стены
1–263;Штукатурка поверхностистен внутри здания гипсовым раствором высококачественная;м2;1125.00;Этап №1;Стены: штукатурка;Стены
1–264;Штукатурка простенка (части стены между проемами) шириной до 40 см;м.п.;910.00;Этап №1;Стены: штукатурка;Стены
1–265;Штукатурка стен;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–266;Штукатурка стен (выравнивание стен) до 30 мм по маякам;м2;440.00;Этап №1;Стены: штукатурка;Стены
1–267;Штукатурка стен (под плитку);м2;250.00;Этап №1;Стены: штукатурка;Стены
1–268;Штукатурка стен (под правило);м2;265.00;Этап №1;Стены: штукатурка;Стены
1–269;Штукатурка стен (толщина до 20 мм) по маякам;м2;350.00;Этап №1;Стены: штукатурка;Стены
1–270;Штукатурка стен гипсовыми смесями;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–271;Штукатурка стен до 1 см;м2;315.00;Этап №1;Стены: штукатурка;Стены
1–272;Штукатурка стен до 20мм толщиной по маякам;м2;350.00;Этап №1;Стены: штукатурка;Стены
1–273;Штукатурка стен до 30 мм;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–274;Штукатурка стен и перегородок;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–275;Штукатурка стен криволинейной плоскости;м2;325.00;Этап №1;Стены: штукатурка;Стены
1–276;Штукатурка стен неплоской формы (полукруглых, эллипсных и др.форм);м2;1565.00;Этап №1;Стены: штукатурка;Стены
1–277;Штукатурка стен по маякам;м2;525.00;Этап №1;Стены: штукатурка;Стены
1–278;Штукатурка стен по маякам (до 3 см);м2;400.00;Этап №1;Стены: штукатурка;Стены
1–279;Штукатурка стен по маякам более 5 см гипсовой смесью;м2;500.00;Этап №1;Стены: штукатурка;Стены
1–280;Штукатурка стен по маякам более 5 см цементной смесью;м2;565.00;Этап №1;Стены: штукатурка;Стены
1–281;Штукатурка стен по маякам до 3 см;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–282;Штукатурка стен по маякам до 3 см гипсовой смесью;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–283;Штукатурка стен по маякам до 3 см гипсовой смесью (фасадная штукатурка);м2;375.00;Этап №1;Стены: штукатурка;Стены
1–284;Штукатурка стен по маякам до 3 см гипсовой смесью в зоне санузлов;м2;375.00;Этап №1;Стены: штукатурка;Стены
1–285;Штукатурка стен по маякам до 3 см цементной смесью;м2;440.00;Этап №1;Стены: штукатурка;Стены
1–286;Штукатурка стен по маякам до 3см;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–287;Штукатурка стен по маякам до 5 см гипсовой смесью;м2;395.00;Этап №1;Стены: штукатурка;Стены
1–288;Штукатурка стен по маякам до 5 см цементной смесью;м2;435.00;Этап №1;Стены: штукатурка;Стены
1–289;Штукатурка стен по маякам до 6 см;м2;625.00;Этап №1;Стены: штукатурка;Стены
1–290;Штукатурка стен под правило;м2;265.00;Этап №1;Стены: штукатурка;Стены
1–291;Штукатурка стен с армированием;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–292;Штукатурка стен сильно искривленной формы;м2;875.00;Этап №1;Стены: штукатурка;Стены
1–293;Штукатурка стен слоем до 3-х см (гипсовая штукатурка);м2;375.00;Этап №1;Стены: штукатурка;Стены
1–294;Штукатурка стен слоем до 3-х см (цементно-песчаная штукатурка);м2;440.00;Этап №1;Стены: штукатурка;Стены
1–295;Штукатурка стен слоем от 3 до 6 см (гипсовая штукатурка);м2;975.00;Этап №1;Стены: штукатурка;Стены
1–296;Штукатурка стен слоем от 3 до 6 см (цементно-песчаная штукатурка);м2;1190.00;Этап №1;Стены: штукатурка;Стены
1–297;Штукатурка стен слоем от 6 до 8 см (гипсовая штукатурка);м2;1050.00;Этап №1;Стены: штукатурка;Стены
1–298;Штукатурка стен слоем от 6 до 8 см (цементно-песчаная штукатурка);м2;1265.00;Этап №1;Стены: штукатурка;Стены
1–299;Штукатурка стен через фасадную сетку;м2;415.00;Этап №1;Стены: штукатурка;Стены
1–300;Штукатурная подготовка по стеклотканевой сетке;м2;400.00;Этап №1;Стены: штукатурка;Стены
1–301;Штукатурное выравнивание углов (в том числе зоны плинтуса);м.п.;250.00;Этап №1;Стены: штукатурка;Стены
1–307;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по бетону с отделкой под высококачественную окраску толщиной слоя 15 мм;м2;249.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–308;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по бетону с отделкой под облицовку и шпатлевку толщиной слоя 10 мм;м2;153.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–309;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по бетону с отделкой под окраску и обои толщиной слоя 15 мм;м2;199.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–310;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под высококачественную окраску толщиной 15 мм;м2;246.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–311;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под облицовку толщиной слоя 10 мм;м2;149.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–312;Оштукатуривание стен и перегородок в один слой толщиной до 15 мм гипсовой штукатуркой КНАУФ-МП 75 с механизированным нанесением раствора штукатурной машиной по камню с отделкой под окраску и обои толщиной слоя 15 мм;м2;195.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–313;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм По бетону с отделкой под высококачественную окраску;м2;369.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–314;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм по бетону с отделкой под облицовку и шпатлевку;м2;283.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–315;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм по бетону с отделкой под окраску и обои;м2;319.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–316;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм по камню с отделкой под высококачественную окраску;м2;366.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–317;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм по камню с отделкой под облицовку и шпатлевку;м2;280.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–318;Оштукатуривание стен и перегородок гипсовой штукатуркой КНАУФ-Ротбанд в один слой толщиной до 15 мм по камню с отделкой под окраску и обои;м2;315.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–319;Оштукатуривание стен и перегородок цементным составом КНАУФ-Грюнбанд в один слой (15 мм) по бетону;м2;364.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–320;Оштукатуривание стен и перегородок цементным составом КНАУФ-Грюнбанд в один слой (15 мм) по кирпичу;м2;341.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–321;Установка уголков под штукатурку на внешние углы откосов с нанесением гипсового раствора вручную;м;65.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–322;Установка уголков под штукатурку на внешние углы откосов с нанесением гипсового раствора штукатурной машиной;м;43.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–323;Установка уголков под штукатурку на внешние углы стен и перегородок с нанесением гипсового раствора вручную;м;41.00;Этап №1;Стены: штукатурка;Устройство перегородок
1–324;Установка уголков под штукатурку на внешние углы стен и перегородок с нанесением гипсового раствора штукатурной машиной;м;36.00;Этап №1;Стены: штукатурка;Устройство перегородок
2–409;Монтаж вентиляционного адаптера 150х1050х150 мм;шт;810.00;Этап №2;Вентиляция: Воздуховоды;Монтаж сетей отопления, кондиционирования и вентиляции
2–01;Вывод канализации под сантехнический прибор;шт;1710.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–02;Вывод точки канализации d50 мм;шт;1710.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–05;Вывод фанового стояка d50 мм на крышу;шт;2135.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–100;Монтаж сливного крана в колодце;шт;610.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–101;Монтаж сливного узла ХВС, ГВС;шт;1590.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–104;Монтаж стояка канализации d110 мм;м.п.;675.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–105;Монтаж стояка канализации d160 мм;м.п.;955.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–11;Замена стояка канализации ПВХ;шт;5185.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–113;Монтаж точки канализации d110 мм;шт;2230.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–114;Монтаж точки канализации d50 мм;шт;1710.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–116;Монтаж труб канализационных;м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–15;Замена тройника канализации (на стояке ПВХ);шт;1525.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–162;Монтаж трубы канализационной d110 мм;м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–163;Монтаж трубы канализационной d50 мм;м.п.;210.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–18;Изоляция стояка канализации (без учета материала);шт;1525.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–203;Прокладка канализации в пределах границ дома (внутренняя сеть);м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–204;Прокладка канализационной трубы d110;м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–205;Прокладка канализационной трубы d50;м.п.;210.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–22;Монтаж вентиля сливного 1/2;шт;185.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–262;Прочистка канализации засор средний сложности;шт;1830.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–263;Прочистка канализации простой засор;шт;735.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–264;Прочистка канализации сложный засор с разбором комуникаций;шт;3050.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–268;Точка канализации, под раковину;шт;1710.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–291;Установка верхней части и решетки трапа;шт;980.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–301;Установка воронок водосточных;1 воронка;1795.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–302;Установка воронок сливных диаметром: 100 мм;1 воронка;510.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–303;Установка воронок сливных диаметром: 150 мм;1 воронка;830.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–304;Установка воронок сливных диаметром: 50 мм;1 воронка;375.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–311;Установка душевого трапа;шт;3905.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–32;Монтаж и обвязка сололифта;шт;11105.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–342;Установка люка ревизионного;шт;1465.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–343;Установка обвязки на ванну слив/перелив;шт;735.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–347;Установка ревизионных люков;шт;1465.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–35;Монтаж канализации (точка);шт;1015.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–351;Установка сифона для раковины;шт;610.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–352;Установка сифона на мойку;шт;1220.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–353;Установка сифона-воронки;шт;185.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–354;Установка сухих трапов в пол;шт;370.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–36;Монтаж канализационного затвора d110 мм;шт;2565.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–361;Установка трапа;шт;3905.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–37;Монтаж канализационного стояка d110 мм;м.п.;955.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–38;Монтаж канализационных труб d110 мм;м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–386;Устройство трапа в душевой кабине;шт;3905.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–39;Монтаж канализационных труб d50 мм;м.п.;210.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–76;Монтаж ПВХ труб канализации d110 мм;м.п.;325.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–90;Монтаж ревизии d110 мм;шт;1100.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–91;Монтаж ревизии d160 мм;шт;1465.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–98;Монтаж сифона сухого;шт;610.00;Этап №2;Водоотведение;Монтаж сетей водопровода и канализации
2–07;Замена вводного крана на стояке ГВС, ХВС;шт;980.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–08;Замена коренного крана на стояке ГВС или ХВС;шт;1830.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–09;Замена обжимных фитингов на прессовые;шт;75.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–180;Монтаж фланца стального приварного встык;шт;1220.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–181;Монтаж шарового крана;шт;795.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–182;Монтаж шарового спускного клапана 1/2;шт;610.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–183;Монтаж шаровый крана полнопроходного 3/4;шт;610.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–184;Монтаж шкафа и распределительного коллектора для воды;шт;2440.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–27;Монтаж запорно-предохранительной арматуры;шт;955.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–271;Установка байпасов между термостатами и смесителями;шт;735.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–272;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 100 мм;шт;1780.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–273;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 125 мм;шт;4100.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–274;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 150 мм;шт;4100.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–275;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 200 мм;шт;5255.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–276;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 25 мм;шт;900.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–277;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 250 мм;шт;6555.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–278;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 300 мм;шт;7720.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–279;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 350 мм;шт;9415.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–28;Монтаж запорной арматуры;шт;405.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–280;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 400 мм;шт;10360.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
2–281;Установка вентилей, задвижек, затворов, клапанов обратных, кранов проходных на трубопроводах из стальных труб диаметром: до 50 мм;шт;900.00;Этап №2;Водоснабжение: арматура;Монтаж сетей водопровода и канализации
